,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,y,x
cc_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nir,,,,,,0.8009551791999638,,,,0.9429354220095746,,,,,,0.9619561318303712,0.9581957940396988,,,,,,,,,,,
red,,,,0.8571624468131946,0.9281256572600338,,,,,,,,,,0.9189286342235,,,,,,,,,,,,,
blue,,,0.8571624468131946,,0.9637968733306905,,,,,,,,,0.8616426446268034,,,,,,,,,,,,,,
green,,,0.9281256572600338,0.9637968733306905,,,,,,,,,,0.8037306781748884,,,,,,,,,,,,,,
emad,,0.8009551791999638,,,,,,,,0.8303759235964469,,0.8659644469636989,0.8785699191307462,,,0.8261271763874111,,,,,,,,,,,,
smad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nir08,,0.9429354220095746,,,,0.8303759235964469,,,,,,0.8848703804887186,0.8270429931452389,,,0.9849673881271309,0.9698099247671049,,,,,,,,,,,
nir09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swir16,,,,,,0.8659644469636989,,,,0.8848703804887186,,,0.9867311739080863,,,0.8396499108740513,,,,,,,,,,,0.8650384146917659,
swir22,,,,,,0.8785699191307462,,,,0.8270429931452389,,0.9867311739080863,,,,,,,,,,,,,,,0.9004472661091077,
coastal,,,,0.8616426446268034,0.8037306781748884,,,,,,,,,,,,,,,,,,,,,,,
rededge1,,,0.9189286342235,,,,,,,,,,,,,,,,,,,,,,,,,
rededge2,,0.9619561318303712,,,,0.8261271763874111,,,,0.9849673881271309,,0.8396499108740513,,,,,0.9907745557765774,,,,,,,,,,,
rededge3,,0.9581957940396988,,,,,,,,0.9698099247671049,,,,,,0.9907745557765774,,,,,,,,,,,,
cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndvi,,,,,,,,,,,,,,,,,,,,,,,,,0.8672032543023765,,,
ndwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mndwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mci,,,,,,,,,,,,,,,,,,,0.8672032543023765,,,,,,,,,
ndci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,0.8650384146917659,0.9004472661091077,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
